Fecha,Lote,Marca comercial,Principio activo,Dosis,Plaga o enfermedad,Maquina utilizada,Tiempo de carencia,Tipo de aplicación o riego,Operario responsable,Excedente,
,,,,,,,,,,,
6/7/2019,1,FFO,Microorg.,"1,2/100",MEJORAMIENTO DE PLANTA, ,No tiene,RIEGO,, ,
13/7/2019,1,FFO,Microorg.,2/100,MEJORAMIENTO DE PLANTA,1,No tiene,FOLIAR,,0,
13/7/2019,1,FFO,Microorg.,5/100,MEJORAMIENTO DE PLANTA, ,No tiene,RIEGO,, ,
30/7/2019,1,FFO,Microorg.,5/100,MEJORAMIENTO DE PLANTA, ,No tiene,RIEGO,, ,
30/8/2019,1,FFO,Microorg.,5,MEJORAMIENTO DE PLANTA,,No tiene,RIEGO,,,
28/7/2020,1,Hellion,Lufenuron,,Repelente roedores,,,Suelo,Lulo,,
6/8/2020,1,Imi-Max,Imidaclorprid,75/100,Pulgones,,,,Lulo,,
12/8/2019,2,AGROSTIN,Folsiteina,"0,05",Fitorregulador,1,No tiene,Foliar,Cabral,0,
20/8/2019,2,AGROSTIN,,"0,05",,,No tiene,Foliar,,0,
,2,PRIMATINA,,"0,05",,,No tiene,Foliar,,0,
,2,SILUCION,,"0,2",Mejoramiento de planta,,No tiene,Foliar,,0,
27/8/2019,2,FFO,Migroorg.,2,Mejoramiento de planta,,No tiene,RIEGO,,,
30/8/2019,2,FFO,Migroorg.,"2,5",Mejoramiento de planta,,No tiene,RIEGO,,,
20/6/2020,2,Infinito,Propanocarb,,Oidio,,,Pulverizacion,Lulo,,
10/8/2020,2,Tepeki.,Ciclonamida,30/100,Pulgones,,,,Lulo,,
10/11/2020,2,Mifos,Glifosato,1400/200,Malezas entresurco,,,Pulverizacion,Lulo,,
23/11/2020,2,Imimax,Imidaclorprid,150/200,Pulgón,,,Pulverizacion,"""",,
17/12/2020,2,Omite,Propargite,8cc/20,Arañuela,,,Pulverizacion,"""",,
17/2/2021,2,Giberelina,,,,,,,,,
16/8/2019,3,FFO,microorg.,"2,5",Mejoramiento de planta,,No tiene,Riego,,,
18/8/2019,3,AGROSTIN,,"0,05",,,No tiene,Riego,,,
,3,PROMALINA,,"0,05",,,No tiene,Riego,,,
27/8/2019,3,FFO,microorg.,5,Mejoramiento de planta,,No tiene,Riego,,,
30/8/2019,3,FFO,microorg.,"2,5",Mejoramiento de planta,1,No tiene,Maquina,,0,
2/9/2019,3,RAISAN,,3,,,No tiene,Riego,,,
,3,RUTEX,,"0,045",,,No tiene,Riego,,,
26/6/2020,3,Sunfire,Clorfenapir,,Arañuela,Mochila 20 lts,,Pulverización,Aguirre,,
,3,Silución,Zn+,,,"""",,"""","""",,
,3,A.Nítrico,A.Nitrico,, Ph,"""",,"""","""",,
9/7/2020,3,Kanemite,acequinocyl,,Arañuela,Mochila 20 lts,,Pulverización,"""",,
,3,Silución,Zn+,,,"""",,"""","""",,
,3,A.Nítrico,A.Nitrico,, Ph,"""",,"""","""",,
10/7/2020,3,Bioplus,Microel+N-,3L,,Maqu tres puntos,,Riego,Cabral,,
18/7/2020,3,Sumilex,Procimidone,80cc/100l agua,Fungosis,Mochila 20 lts,,Pulverización,Aguirre,,
29/7/2020,3,FFO,microorg.,2 L,Mejoramiento de planta,Maqu tres puntos,No tiene,Tractor/riego,Cabral,,
31/7/2020,3,Silución,Zn+Mg+Cu+,,Mejoramiento de planta,Mochila 20 lts,,Pulverización,Aguirre,,
4/8/2020,3,Rendidor,Microel+microorg,,Mejoramiento de planta,Maqu tres puntos,,Tractor/riego,Cabral,,
6/8/2020,3,Daconil ,Clorotalonil,200/100l agua,,,,,,,
7/8/2020,3,Myr Fe,Hierro ,250/100,Mejoramiento de planta,Mochila 20 lts,,Pulver,Aguirre,,
10y11-8-2020,3,FFO,Moo,"1,5/60",,Mochila 20 lts,,Pulver,Aguirre,,
12/8/2020,3,Robral,Iprodione,450g/100,Botritys,Mochila 20 lts,,,Aguirre,,
14/8/2020,3,Oberon ,Spiromesafen,100/200,Mosca,Mochila 20 lts,,Pulver,Aguirre,,
17/8/2020,3,Mifos,Glifosato,700/100,Malezas,Mochila 20 lts,,Pulver,Aguirre,,
19/8/2020,3,Mifos,Glifosato,700/100,Malezas,Mochila 20 lts,,Pulver,Aguirre,,
21/8/2020,3,Silución,Zn+Mg+Cu+,400/200,Mejoramiento de planta,Mochila 20 lts,,Pulver,Aguirre,,
27/8/2020,3,Imi-Max,Imidaclorprid,338/450,Mosca blanca,Mochila 20 lts,,Pulver,Aguirre,,
