FECHA,CANTIDAD,Variedad,fecha de cosecha,OBSERVACIONES
13/6/2019,42000,Lechuga Romana,13/8/2019,"llave B, media canilla"
12/7/2019,2458,Lechuga Romana,12/9/2019,"llave B, media canilla"
12/7/2019,4500,Lechuga Morada,12/9/2019,"llave B, media canilla"
12/7/2019,16000,Lechuga Francesa,12/9/2019,"llave B, media canilla"
27/9/2019,42000,Lechuga Romana,,"llave B, media canilla"
27/9/2019,18200,Lechuga Francesa,,"llave B, media canilla"
27/9/2019,14000,Lechuga Morada,,"llave B, media canilla"
14/10/2019,34560,Lechuga Romana,,"llave B, media canilla"
31/12/2019,7500,Tomate 2900,,
27/7/2020,9000,Zapallito,,Llave B-Milano F1
